月份,全国当月,全国同比增长,全国环比增长,全国累计,城市当月,城市同比增长,城市环比增长,城市累计,农村当月,农村同比增长,农村环比增长,农村累计
2017-12-1,101.8,1.8,0.3,101.6,101.9,1.9,0.3,101.7,101.7,1.7,0.4,101.3
2017-11-1,101.7,1.7,0,101.5,101.8,1.8,0,101.6,101.5,1.5,0,101.2
2017-10-1,101.9,1.9,0.1,101.5,101.9,1.9,0.1,101.6,101.7,1.7,0.2,101.2
2017-9-1,101.6,1.6,0.5,101.5,101.7,1.7,0.5,101.6,101.4,1.4,0.6,101.1
2017-8-1,101.8,1.8,0.4,101.5,101.9,1.9,0.4,101.6,101.5,1.5,0.5,101.1
2017-7-1,101.4,1.4,0.1,101.4,101.5,1.5,0.1,101.5,101,1,0,101
2017-6-1,101.5,1.5,-0.2,101.4,101.7,1.7,-0.1,101.5,101,1,-0.2,101
2017-5-1,101.5,1.5,-0.1,101.4,101.7,1.7,-0.1,101.5,101.1,1.1,-0.1,101.1
2017-4-1,101.2,1.2,0.1,101.4,101.3,1.3,0.1,101.5,100.8,0.8,0,101.1
2017-3-1,100.9,0.9,-0.3,101.4,101,1,-0.3,101.5,100.6,0.6,-0.4,101.1
2017-2-1,100.8,0.8,-0.2,101.7,100.9,0.9,-0.2,101.8,100.6,0.6,-0.1,101.4
2017-1-1,102.5,2.5,1,102.5,102.6,2.6,1,102.6,102.2,2.2,0.9,102.2
2016-12-1,102.1,2.1,0.2,102,102.1,2.1,0.2,102.1,101.9,1.9,0.3,101.9
2016-11-1,102.3,2.3,0.1,102,102.3,2.3,0.1,102,102,2,0.2,101.9
2016-10-1,102.1,2.1,-0.1,102,102.2,2.2,-0.1,102,101.8,1.8,-0.1,101.8
2016-9-1,101.9,1.9,0.7,102,102,2,0.7,102,101.6,1.6,0.7,101.8
2016-8-1,101.3,1.3,0.1,102,101.4,1.4,0.1,102,101,1,0.1,101.9
2016-7-1,101.8,1.8,0.2,102.1,101.8,1.8,0.3,102.1,101.5,1.5,0,102
2016-6-1,101.9,1.9,-0.1,102.1,101.9,1.9,-0.1,102.1,101.9,1.9,-0.1,102.1
2016-5-1,102,2,-0.5,102.1,102,2,-0.5,102.2,102.1,2.1,-0.4,102.1
2016-4-1,102.3,2.3,-0.2,102.2,102.3,2.3,-0.2,102.2,102.4,2.4,-0.2,102.1
2016-3-1,102.3,2.3,-0.4,102.1,102.3,2.3,-0.4,102.1,102.2,2.2,-0.4,102
2016-2-1,102.3,2.3,1.6,102,102.3,2.3,1.6,102.1,102.2,2.2,1.6,101.9
2016-1-1,101.8,1.8,0.5,101.8,101.8,1.8,0.5,101.8,101.5,1.5,0.5,101.5
2015-12-1,101.6,1.6,0.5,101.4,101.7,1.7,0.5,101.5,101.5,1.5,0.5,101.3
2015-11-1,101.5,1.5,0,101.4,101.5,1.5,0,101.5,101.3,1.3,0,101.3
2015-10-1,101.3,1.3,-0.3,101.4,101.3,1.3,-0.3,101.5,101.2,1.2,-0.3,101.3
2015-9-1,101.5956046,1.59560463,0.0992,101.4332735,101.6432167,1.64321672,0.11550399,101.4890123,101.4535864,1.45358637,0.0505089,101.2669505
2015-8-1,102,2,0.4794943,101.4128946,102.017321,2.01732098,0.4420369,101.4696557,101.7708111,1.7708111,0.59152553,101.2435129
2015-7-1,101.6,1.6,0.30686906,101.3354178,101.7044718,1.70447176,0.30839768,101.3914748,101.4768525,1.47685248,0.30229738,101.1680986
2015-6-1,101.4,1.4,0.02508881,101.2835527,101.4491145,1.44911454,0.00628748,101.3394342,101.2171944,1.21719438,0.08136045,101.1167513
2015-5-1,101.2,1.2,-0.17388027,101.2621576,101.2946866,1.29468655,-0.19178876,101.3175763,101.0399398,1.03993984,-0.12024246,101.096726
2015-4-1,101.5,1.5,-0.2050355,101.2699842,101.5652031,1.56520309,-0.18424678,101.3232837,101.3412837,1.34128374,-0.26724815,101.1108833
2015-3-1,101.4,1.4,-0.54597886,101.190681,101.4220316,1.42203159,-0.54118236,101.2430067,101.2376118,1.23761178,-0.56033017,101.0345467
2015-2-1,101.4,1.4,1.19460288,101.0983445,101.5023652,1.50236523,1.2505506,101.1536626,101.2185474,1.21854744,1.02757376,100.933372
2015-1-1,100.8,0.8,0.25981903,100.7638091,100.8030317,0.80303171,0.27408804,100.8030317,100.6468932,0.64689323,0.21724374,100.6468932
2014-12-1,101.5,1.5,0.34683648,101.9884274,101.5681549,1.56815491,0.34836608,102.0551876,101.3192896,1.31928959,0.34227282,101.7901193
2014-11-1,101.4,1.4,-0.2236259,102.0327643,101.4958378,1.49583782,-0.2385898,102.0999085,101.2710927,1.27109268,-0.17895329,101.8333499
2014-10-1,101.6011487,1.60114868,0.03141593,102.0925789,101.659723,1.65972297,0.05281241,102.1607989,101.4266842,1.42668417,-0.03240586,101.8900107
2014-9-1,101.6,1.6,0.4536683,102.1477035,101.6958708,1.69587079,0.4839854,102.2170178,101.4240877,1.42408768,0.36334649,101.9419493
2014-8-1,102,2,0.17592267,102.2133863,102.0357036,2.0357036,0.1340185,102.2828123,101.8575225,1.85752249,0.3009732,102.0073561
2014-7-1,102.3,2.3,0.05380941,102.2552458,102.3336079,2.33360791,0.05654568,102.3181855,102.1408212,2.14082116,0,102.0288214
2014-6-1,102.3,2.3,-0.13288685,102.2586134,102.4004305,2.40043053,-0.14594421,102.3156218,102.144504,2.14450398,-0.09390498,102.0102191
2014-5-1,102.5,2.5,0.10055298,102.25,102.5270795,2.52707952,0.07475802,102.2987373,102.3289683,2.32896825,0.17764128,101.9834889
2014-4-1,101.8013814,1.80138144,-0.33606842,102.1550645,101.8586462,1.8586462,-0.32495217,102.2419604,101.6306286,1.63062857,-0.36927458,101.8977209
2014-3-1,102.4,2.4,-0.4916863,102.2729264,102.4861238,2.4861238,-0.46240372,102.3697952,102.0834668,2.08346682,-0.57905593,101.9865242
2014-2-1,102,2,0.52884802,102.2171903,102.0511705,2.05117051,0.55295204,102.3118389,101.6560532,1.65605322,0.45699812,101.9382924
2014-1-1,102.5,2.5,0.99786994,102.4860805,102.5752949,2.57529485,1.03519641,102.5752949,102.2234038,2.22340379,0.88676972,102.2234038
2013-12-1,102.4987169,2.49871692,0.2813488,102.6240153,102.4978056,2.49780555,0.27691749,102.5785615,102.5037761,2.50377614,0.29454067,102.7613058
2013-11-1,103,3,-0.06445624,102.6355358,102.9940632,2.99406321,-0.07750523,102.5859832,103.0917508,3.09175075,-0.02558963,102.7850165
2013-10-1,103.2,3.2,0.05735523,102.5971418,103.166453,3.16645302,0.08838885,102.545028,103.3256054,3.3256054,-0.034965,102.7542069
2013-9-1,103.1,3.1,0.81284348,102.5293133,102.9860379,2.98603788,0.8197685,102.4757732,103.2502875,3.2502875,0.79224823,102.6905472
2013-8-1,102.6,2.6,0.46497032,102.4637114,102.4628999,2.46289992,0.42637064,102.4117118,102.878444,2.87844396,0.5799426,102.6202824
2013-7-1,102.7,2.7,0.1036,102.449,102.5937,2.5937,0.1219,102.4044,102.9163,2.9163,0,102.5834
2013-6-1,102.7,2.7,0.0049,102.4117,102.6198,2.6198,-0.0224,102.373,102.8154,2.8154,0.0865,102.5283
2013-5-1,102.0981,2.0981,-0.5597,102.3607,102.0506,2.0506,-0.5777,102.324,102.2423,2.2423,-0.506,102.4714
2013-4-1,102.4,2.4,0.2351,102.4262,102.3694,2.3694,0.2891,102.3922,102.4381,2.4381,0.0747,102.5284
2013-3-1,102.1,2.1,-0.9132,102.4396,102.0283,2.0283,-0.8848,102.3998,102.1948,2.1948,-0.9953,102.5584
2013-2-1,103.2,3.2,1.0564,102.6248,103.1935,3.1935,1.0694,102.5859,103.2976,3.2976,1.0177,102.7403
2013-1-1,102,2,1.0103,102.0305,101.9791,1.9791,0.9589,101.9791,102.1834,2.1834,1.1635,102.1834
