日期,收盘,开盘,高,低,交易量,涨跌幅
2017-12-1,4030.85,4003.56,4086.93,3955.44,1.99M,0.62%
2017-11-1,4006.1,4007.91,4260.64,3963.03,3.09M,-0.02%
2017-10-1,4006.72,3910.11,4033.34,3855.47,1.81M,4.44%
2017-9-1,3836.5,3825.34,3865.29,3808.38,2.40M,0.38%
2017-8-1,3822.09,3738.74,3866.94,3645.09,2.94M,2.25%
2017-7-1,3737.87,3667.23,3755.19,3610.46,2.62M,1.94%
2017-6-1,3666.8,3485.22,3676.53,3460.45,2.02M,4.98%
2017-5-1,3492.88,3427.92,3515.08,3312.89,1.97M,1.54%
2017-4-1,3439.75,3476.42,3526.81,3399.54,2.29M,-0.47%
2017-3-1,3456.05,3452.21,3505.98,3412.69,2.14M,0.09%
2017-2-1,3452.81,3390.93,3492.96,3347.43,1.77M,1.91%
2017-1-1,3387.96,3313.95,3395.88,3264.21,1.47M,2.35%
2016-12-1,3310.08,3543.96,3575.97,3267.05,2.54M,-6.44%
2016-11-1,3538,3338.71,3583.72,3322.08,3.19M,6.05%
2016-10-1,3336.28,3265.36,3382.83,3258.96,1.48M,2.55%
2016-9-1,3253.28,3326.74,3357.36,3214.44,1.44M,-2.24%
2016-8-1,3327.79,3196.43,3418.69,3156.75,2.37M,3.87%
2016-7-1,3203.93,3156.93,3300.99,3134.02,2.32M,1.59%
2016-6-1,3153.92,3172.96,3201.75,3033.97,1.69M,-0.49%
2016-5-1,3169.56,3159.82,3222.88,3027.44,1.59M,0.41%
2016-4-1,3156.75,3213.67,3296.52,3107.37,2.06M,-1.91%
2016-3-1,3218.09,2881.34,3267.78,2863.32,3.06M,11.84%
2016-2-1,2877.47,2939.04,3128.21,2821.21,1.71M,-2.33%
2016-1-1,2946.09,3725.86,3726.24,2839.29,2.45M,-21.04%
2015-12-1,3731,3562.32,3926.69,3536.12,3.36M,4.62%
2015-11-1,3566.41,3489.23,3891.77,3452.62,4.39M,0.91%
2015-10-1,3534.08,3324.98,3620.76,3293.97,3.04M,10.34%
2015-9-1,3202.95,3296.53,3426.65,3131.37,3.17M,-4.86%
2015-8-1,3366.54,3766.07,4113.16,2952.01,5.34M,-11.79%
2015-7-1,3816.7,4408.98,4526.13,3537.83,9.53M,-14.67%
2015-6-1,4473,4862.76,5380.43,4000.93,9.50M,-7.60%
2015-5-1,4840.83,4757.64,5226.84,4445.59,7.73M,1.91%
2015-4-1,4749.89,4057.5,4839.08,4046.94,9.56M,17.25%
2015-3-1,4051.2,3603.45,4166.02,3417.49,6.84M,13.39%
2015-2-1,3572.84,3360.19,3594.81,3285.94,2.80M,4.03%
2015-1-1,3434.39,3566.09,3689.75,3325.68,5.67M,-2.81%
2014-12-1,3533.71,2825.61,3542.34,2804.29,9.25M,25.81%
2014-11-1,2808.82,2515.82,2809.54,2482.98,4.16M,11.98%
2014-10-1,2508.32,2460.87,2512.19,2361.68,2.31M,2.34%
2014-9-1,2450.99,2340.93,2462.67,2338.53,2.49M,4.82%
2014-8-1,2338.29,2341.23,2380.77,2309.64,2.06M,-0.51%
2014-7-1,2350.25,2169.2,2350.55,2134.79,1.84M,8.55%
2014-6-1,2165.12,2157.64,2196.34,2117.31,919.32K,0.40%
2014-5-1,2156.46,2152.59,2185.05,2096.51,942.77K,-0.10%
2014-4-1,2158.66,2143.72,2290.74,2131.78,1.30M,0.58%
2014-3-1,2146.3,2173.91,2194.22,2077.76,1.46M,-1.50%
2014-2-1,2178.97,2187.34,2331.7,2133.55,1.36M,-1.07%
2014-1-1,2202.45,2323.43,2325.99,2156.46,1.12M,-5.48%
2013-12-1,2330.03,2423.97,2486.64,2259.57,1.35M,-4.47%
2013-11-1,2438.94,2373.96,2460.56,2279.01,1.43M,2.75%
2013-10-1,2373.72,2406.42,2483.13,2327.9,1.51M,-1.47%
2013-9-1,2409.04,2319.96,2527.38,2297.45,1.86M,4.11%
2013-8-1,2313.91,2206,2423.08,2200.63,1.58M,5.51%
2013-7-1,2193.02,2187.09,2351.22,2149.79,1.50M,-0.35%
2013-6-1,2200.64,2605.97,2625.94,2023.17,1.11M,-15.57%
2013-5-1,2606.43,2434.6,2661.23,2423.08,1.44M,6.50%
2013-4-1,2447.31,2486.43,2542.45,2416.62,943.49K,-1.91%
2013-3-1,2495.08,2671.84,2680.85,2482.49,1.48M,-6.67%
2013-2-1,2673.33,2677.19,2791.3,2564.67,1.42M,-0.50%
2013-1-1,2686.88,2551.81,2696.88,2473.7,1.72M,6.50%
